 1. 27-01-2026 23:32:06, 99 P . VITA , 999 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
 2. 27-01-2026 23:32:25, 17 P . VITA , 072 MONETE , 09 OGGETTI , 1 MISSIONI COMPLETATE 100111077 
 3. 01-02-2026 02:17:03, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000000 
 4. 02-02-2026 01:36:27, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
 5. 02-02-2026 01:36:33, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
 6. 02-02-2026 01:36:36, 17 P . VITA , 072 MONETE , 09 OGGETTI , 1 MISSIONI COMPLETATE 1001111711
 7. 02-02-2026 01:36:39, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
 8. 02-02-2026 01:44:19, 17 P . VITA , 999 MONETE , 09 OGGETTI , 1 MISSIONI COMPLETATE 1000111711 
 9. 04-02-2026 16:21:56, 17 P . VITA , 999 MONETE , 09 OGGETTI , 1 MISSIONI COMPLETATE 1000111711 
10. 04-02-2026 16:23:11, 17 P . VITA , 072 MONETE , 09 OGGETTI , 1 MISSIONI COMPLETATE 1000111711 
11. 04-02-2026 16:23:40, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
12. 09-02-2026 00:34:11, 20 P . VITA , 007 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
13. 09-02-2026 00:34:39, 20 P . VITA , 007 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
14. 09-02-2026 00:35:29, 20 P . VITA , 007 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
15. 09-02-2026 00:41:29, 20 P . VITA , 046 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
16. 09-02-2026 01:50:29, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000080 
17. 09-02-2026 01:51:31, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 100000070 
18. 09-02-2026 01:59:52, 20 P . VITA , 022 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 100000070 
19. 09-02-2026 12:17:54, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
20. 09-02-2026 12:18:11, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
21. 09-02-2026 12:18:24, 20 P . VITA , 172 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
22. 09-02-2026 12:31:20, 19 P . VITA , 079 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 100000080 
23. 09-02-2026 12:31:23, 07 P . VITA , 018 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 100000080 
24. 10-02-2026 16:55:24, 02 P . VITA , 022 MONETE , 00 OGGETTI , 1 MISSIONI COMPLETATE 100000080 
25. 10-02-2026 19:29:09, 20 P . VITA , 000 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
26. 10-02-2026 19:31:32, 20 P . VITA , 999 MONETE , 00 OGGETTI , 0 MISSIONI COMPLETATE 000000060 
27. 10-02-2026 22:12:17, 20 P . VITA , 000 MONETE , 00 OGGETTI , 1 MISSIONI COMPLETATE 100011075 
