1. 17-01-2026 18:45:17, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
2. 17-01-2026 18:45:21, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
3. 17-01-2026 18:45:22, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
4. 17-01-2026 18:45:24, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
5. 17-01-2026 18:45:26, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
6. 17-01-2026 18:45:37, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
7. 17-01-2026 18:45:40, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
8. 17-01-2026 18:45:41, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
9. 17-01-2026 18:45:43, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
10. 17-01-2026 18:45:46, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
11. 17-01-2026 18:45:48, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
12. 17-01-2026 18:45:49, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
13. 17-01-2026 18:48:57, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
14. 17-01-2026 19:15:50, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
15. 17-01-2026 19:19:36, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
16. 17-01-2026 19:19:57, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
17. 17-01-2026 19:21:48, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
18. 17-01-2026 19:24:57, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
19. 17-01-2026 19:24:58, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
20. 17-01-2026 19:25:01, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
21. 17-01-2026 19:25:09, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
22. 17-01-2026 19:25:14, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
23. 17-01-2026 19:31:45, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
24. 17-01-2026 19:33:36, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
25. 17-01-2026 19:33:37, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
26. 17-01-2026 19:33:44, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
27. 17-01-2026 19:34:36, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
28. 17-01-2026 19:56:16, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
29. 17-01-2026 19:56:19, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
30. 17-01-2026 19:57:09, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
31. 17-01-2026 19:57:10, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
32. 17-01-2026 19:57:11, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
33. 17-01-2026 19:57:12, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
34. 17-01-2026 19:57:12, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
35. 17-01-2026 19:57:14, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
36. 17-01-2026 20:01:00, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
37. 17-01-2026 20:01:01, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
38. 17-01-2026 20:01:02, -- P . VITA , -- MONETE , -- OGGETTI , - MISSIONI COMPLETATE
